Month,diet,gym,finance
2011-06-01,51.46315960254956,33.26433843749404,49.13959381120424
2011-07-01,51.35822588492855,30.464391378529804,48.439934948846656
2011-08-01,52.1265483809064,32.74069252196703,55.26914855613325
2011-09-01,52.42652737361698,34.272517476022415,49.4953829702362
2011-10-01,52.77972125082592,34.75545158443143,47.987115711672736
2011-11-01,55.82379893744215,35.95944530965463,48.14778214563833
2011-12-01,54.85496480483444,35.31190215389952,47.02006973849361
2012-01-01,53.65350608902147,35.29161071253878,43.988486340137165
2012-02-01,53.83982708394307,35.292219501249676,45.85911844667508
2012-03-01,53.314150131519405,34.378228716628634,45.74871590531502
2012-04-01,52.3252512089757,34.75159050644145,44.33671129620992
2012-05-01,52.602945933827705,34.51700769633541,47.49143848997263
2012-06-01,51.46315960254956,36.382870166009106,44.020886122537135
